file	status	bytes_or_error	url
ministero-ripam-791.html	OK	43579	https://www.giustizia.it/giustizia/it/mg_1_6_1.page?contentId=SCE411222
ministero-esperti-pedagogia-2025.html	OK	57545	https://www.giustizia.it/giustizia/it/mg_1_6_1.page?contentId=SCE1457415
ministero-stabilizzazioni-pnrr-2026.html	OK	119234	https://www.giustizia.it/giustizia/it/mg_1_6_1.page?contentId=SCE1496030
giustizia-circolare-3-novembre-2021-upp.html	OK	98023	https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC353191&facetNode_1=1_1%282021%29&facetNode_2=1_1%28202111%29&previsiousPage=mg_1_8
giustizia-circolare-2-dicembre-2021-progetto-upp.html	OK	90369	https://www.giustizia.it/giustizia/it/mg_1_8_1.page?contentId=SDC357877&facetNode_1=1_1%282021%29&previsiousPage=mg_1_8
giustizia-ufficio-per-il-processo.html	OK	45462	https://www.giustizia.it/giustizia/it/contentview.page?contentId=ART199849
pst-home.html	OK	40295	https://pst.giustizia.it/PST/
pst-deposito-generico-atto.html	OK	28117	https://pst.giustizia.it/PST/it/dettaglio_schede_tematiche.page?contentId=ACC239&modelId=12
pst-naviga-tematica.html	OK	41345	https://pst.giustizia.it/PST/it/naviga_per_tematica.page
corte-cost-10-2024.html	OK	15069	https://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI:IT:COST:2024:10
corte-cost-99-2019.html	OK	15097	https://www.cortecostituzionale.it/actionSchedaPronuncia.do?anno=2019&numero=99
corte-cost-253-2019.html	OK	15102	https://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI:IT:COST:2019:253
cedu-torreggiani-ministero.html	OK	128236	https://www.giustizia.it/giustizia/it/mg_1_20_1.wp?contentId=SDU810042&facetNode_1=1_2%282013%29&facetNode_2=0_8_1_85&previsiousPage=mg_1_20
comitato-ministri-torreggiani.html	OK	38991	https://www.giustizia.it/giustizia/it/mg_1_12_1.page?contentId=SPS1190544
vol-04-giustizia-upp-dossier-v4.md	COPIED	46576	C:\Users\Anton\Desktop\VOL_REDAZIONE LIBRO\VOL-04-giustizia-UPP-dossier-v4.md
